file;Date;team;DomExt;period;time;athletenum;athletename;action;score;team_adv;position_tir;nb_def_reb;nb_att_reb;nb_att_0;nb_att_1;nb_att_2;nb_att_3;nb_att_4;nb_att_5;nb_att_6;nb_att_tot;score off;trans;score trans;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q1;09:33;4;Colton Iverson;defensive rebound;0;Fribourg Olympic;1;3;2;1;1;0;0;0;0;3;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q1;09:11;99;Natan Jurkovitz;defensive rebound;0;Iberostar Tenerife;2;4;2;0;1;1;0;1;1;1;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q1;08:49;32;Justin Roberson;offensive rebound;0;Iberostar Tenerife;2;3;2;0;2;2;0;0;0;1;5;0;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q1;08:46;33;Javier Beiran;defensive rebound;0;Fribourg Olympic;1;3;2;0;2;1;0;0;1;1;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q1;07:59;4;Colton Iverson;offensive rebound;2;Fribourg Olympic;1;1;1;1;1;0;0;0;1;2;5;3;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q1;06:51;99;Natan Jurkovitz;defensive rebound;8;Iberostar Tenerife;1;3;1;0;1;0;2;0;2;0;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q1;05:40;4;Colton Iverson;offensive rebound;7;Fribourg Olympic;1;2;1;0;1;1;1;0;0;2;5;3;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q1;05:19;21;Tim Abromaitis;defensive rebound;10;Fribourg Olympic;3;4;2;0;2;0;1;0;0;2;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q1;04:30;21;Tim Abromaitis;defensive rebound;13;Fribourg Olympic;4;5;2;0;2;1;0;0;0;2;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q1;03:59;32;Justin Roberson;defensive rebound;8;Iberostar Tenerife;3;3;3;0;3;1;1;0;0;0;5;;n;;;;;;
